,video_id,thumnail_url,features
35,osv20DN0aTw,https://i.ytimg.com/vi/osv20DN0aTw/default.jpg,"[[[[0.         0.         0.         ... 0.         0.
    0.        ]
   [0.         0.         0.         ... 0.         0.
    0.        ]
   [0.         0.         0.         ... 0.         0.38449925
    0.        ]]

  [[0.         0.         0.         ... 0.         0.
    0.        ]
   [0.         0.         0.         ... 0.         0.
    0.        ]
   [0.         0.         0.         ... 0.         0.
    0.        ]]]]"
36,uRfIHQnhzME,https://i.ytimg.com/vi/uRfIHQnhzME/default.jpg,"[[[[0.        0.        0.        ... 0.        0.        0.       ]
   [0.        0.        0.        ... 0.        7.0445232 0.       ]
   [0.        0.        0.        ... 0.        0.        0.       ]]

  [[0.        0.        0.        ... 0.        0.        0.       ]
   [0.        0.        0.        ... 0.        0.        0.       ]
   [0.        0.        0.        ... 0.        0.        0.       ]]]]"
37,5vzSPROcX1U,https://i.ytimg.com/vi/5vzSPROcX1U/default.jpg,"[[[[ 0.        0.        0.       ...  0.        0.       20.43078 ]
   [ 0.        0.        0.       ...  0.        0.       51.069073]
   [ 0.        0.        0.       ...  0.        0.        9.803944]]

  [[ 0.        0.        0.       ...  0.        0.       57.232677]
   [ 0.        0.        0.       ... 19.245325  9.704559 96.05934 ]
   [ 0.        0.        0.       ...  0.        0.       30.490004]]]]"
38,jwHfMld-2BU,https://i.ytimg.com/vi/jwHfMld-2BU/default.jpg,"[[[[0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]]

  [[0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]]]]"
39,PymeUZ49ge8,https://i.ytimg.com/vi/PymeUZ49ge8/default.jpg,"[[[[ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.       23.310324]
   [ 0.        0.        0.       ...  0.        0.       44.7004  ]]

  [[ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.       52.56352 ]
   [ 0.        0.        0.       ...  0.        0.       71.40899 ]]]]"
40,JO065aoB2Qo,https://i.ytimg.com/vi/JO065aoB2Qo/default.jpg,"[[[[ 0.        0.        0.       ...  0.        0.       11.975115]
   [ 0.        0.        0.       ...  0.        0.       54.26167 ]
   [ 0.        0.        0.       ...  0.        0.       58.550926]]

  [[ 0.        0.        0.       ...  0.        0.       49.25832 ]
   [ 0.        0.        0.       ...  0.        0.       78.51398 ]
   [ 0.        0.        0.       ...  0.        0.       88.16473 ]]]]"
41,_aAZOeftU74,https://i.ytimg.com/vi/_aAZOeftU74/default.jpg,"[[[[  0.         0.         0.       ...   0.         0.
     64.188416]
   [  0.         0.         0.       ...   0.         0.
     82.52664 ]
   [  0.         0.         0.       ...   0.         0.
      0.      ]]

  [[  0.         0.        23.04342  ...   0.         0.
    113.82195 ]
   [  0.         0.         0.       ...   0.         0.
    132.35052 ]
   [  0.         0.         0.       ...   0.         0.
     41.55192 ]]]]"
42,b3vJRFYGCOw,https://i.ytimg.com/vi/b3vJRFYGCOw/default.jpg,"[[[[ 0.         0.         0.        ...  0.         0.
    27.178577 ]
   [ 0.         0.         0.        ...  0.         0.
    74.75583  ]
   [ 0.         0.         0.        ...  0.        12.528193
    76.66164  ]]

  [[ 0.        15.957892   0.        ...  0.         0.
    38.046703 ]
   [ 0.         3.7336519  0.        ...  0.         0.
    65.439415 ]
   [ 0.         0.         0.        ...  0.         4.6415653
    32.12404  ]]]]"
43,RZGroSFtZTg,https://i.ytimg.com/vi/RZGroSFtZTg/default.jpg,"[[[[ 0.         0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ...  0.         0.
    55.3965   ]]

  [[ 0.         0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ...  0.         0.
     2.5003505]
   [ 0.         0.         0.        ...  0.         0.
    74.90358  ]]]]"
44,owegiuK24p4,https://i.ytimg.com/vi/owegiuK24p4/default.jpg,"[[[[  0.          0.          0.        ...   0.          3.2376275
     64.144356 ]
   [  0.          0.          0.        ...   0.          0.
     40.12344  ]
   [  0.          0.          0.        ...   0.          0.
     35.100986 ]]

  [[  0.          0.          0.        ...   0.         21.583735
     77.77492  ]
   [  0.          0.          0.        ...   0.          0.
    100.4185   ]
   [  0.          0.          0.        ...   0.          0.
    108.015205 ]]]]"
45,wzZPNpL0FqQ,https://i.ytimg.com/vi/wzZPNpL0FqQ/default.jpg,"[[[[  0.         0.         0.       ...   0.         0.
      0.      ]
   [  0.         0.         0.       ...   0.         0.
     71.57057 ]
   [  0.         0.         0.       ...   0.         0.
     97.894424]]

  [[  0.         0.         0.       ...   0.         0.
      0.      ]
   [  0.         0.         0.       ...   0.         0.
    116.944824]
   [  0.         0.         0.       ...   0.         0.
    119.200386]]]]"
